Time Stamp,Altitude,Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Direction X,Direction Y,Direction Z,Angular Rate X,Angular Rate Y,Angular Rate Z,Device State
0,20.493132,2,3,4,5,6,7,-808,-118,94,0,0,0,15,16,17,128
1,20.472477,2,3,4,5,6,7,-815,-122,94,0,0,0,15,16,17,128
2,20.343513,2,3,4,5,6,7,-808,-120,81,0,0,0,15,16,17,128
3,20.439228,2,3,4,5,6,7,-801,-124,91,0,0,0,15,16,17,128
4,20.431168,2,3,4,5,6,7,-804,-122,85,0,0,0,15,16,17,128
5,20.319838,2,3,4,5,6,7,-804,-122,87,0,0,0,15,16,17,128
6,20.220598,2,3,4,5,6,7,-794,-126,89,0,0,0,15,16,17,128
7,20.189365,2,3,4,5,6,7,-808,-116,87,0,0,0,15,16,17,128
8,20.247297,2,3,4,5,6,7,-821,-130,85,0,0,0,15,16,17,128
9,20.051842,2,3,4,5,6,7,-821,-124,89,0,0,0,15,16,17,128
10,20.050835,2,3,4,5,6,7,-825,-118,85,0,0,0,15,16,17,128
11,20.099697,2,3,4,5,6,7,-835,-126,87,0,0,0,15,16,17,128
12,20.077028,2,3,4,5,6,7,-801,-118,94,0,0,0,15,16,17,128
13,20.186342,2,3,4,5,6,7,-818,-126,94,0,0,0,15,16,17,128
14,20.176771,2,3,4,5,6,7,-804,-116,94,0,0,0,15,16,17,128
15,20.080051,2,3,4,5,6,7,-787,-126,91,0,0,0,15,16,17,128
16,20.121359,2,3,4,5,6,7,-828,-116,91,0,0,0,15,16,17,128
17,20.039248,2,3,4,5,6,7,-815,-120,85,0,0,0,15,16,17,128
18,20.116825,2,3,4,5,6,7,-815,-124,89,0,0,0,15,16,17,128
19,20.147552,2,3,4,5,6,7,-825,-126,94,0,0,0,15,16,17,128
20,20.178785,2,3,4,5,6,7,-794,-120,91,0,0,0,15,16,17,128
21,20.037737,2,3,4,5,6,7,-784,-120,83,0,0,0,15,16,17,128
